id_entrevista,fecha_eva,hora_entrevista,resp_eva,resultado_eva,id_solicitud,id_evaluacion,id_empleado
1,2024-04-20,09:00:00,,,00240001,1,20240014
2,2024-04-21,09:30:00,,,00240002,2,20240014
3,2024-04-22,10:00:00,,,00240003,3,20240015
4,2024-04-23,10:30:00,,,00240004,4,20240014
5,2024-04-24,11:00:00,,,00240005,5,20240014
6,2024-04-25,11:30:00,,,00240006,6,20240014
7,2024-04-26,12:00:00,,,00240007,7,20240014
8,2024-04-27,12:30:00,,,00240008,8,20240014
9,2024-04-28,13:00:00,,,00240009,9,20240014
10,2024-04-29,13:30:00,,,00240010,10,20240015
11,2024-04-30,14:00:00,,,00240011,11,20240013
12,2024-05-01,14:30:00,,,00240012,12,20240014
13,2024-05-02,15:00:00,,,00240013,13,20240015
14,2024-05-03,15:30:00,,,00240014,14,20240015
15,2024-05-04,16:00:00,,,00240015,15,20240014
16,2024-05-05,16:30:00,,,00240016,16,20240014
17,2024-05-06,17:00:00,,,00240017,17,20240013
18,2024-05-07,17:30:00,,,00240018,18,20240014
19,2024-05-08,18:00:00,,,00240019,19,20240015
20,2024-05-09,18:30:00,,,00240020,20,20240013
