id_experiencia,nombre_lugar,cargo_ejercido,tiempo_ejercido
201,Empresa A,Gerente de Producción,5 años
202,Empresa B,Jefe de Recepción,3 años
203,Empresa C,Especialista de Control de Calidad,4 años
204,Empresa D,Supervisor de Producción de Mermelada,6 años
205,Empresa E,Técnico de Producción de Fruta Confitada,2 años
206,Empresa F,Profesional de Investigación y Desarrollo,7 años
207,Empresa G,Asistente de Logística y Distribución,4 años
208,Empresa H,Operario de Marketing y Ventas,3 años
209,Empresa I,Gerente de Finanzas y Contabilidad,5 años
210,Empresa J,Jefe de Recursos Humanos,6 años
211,Empresa K,Especialista de Mantenimiento y Reparación de Equipos,4 años
212,Empresa L,Supervisor de Seguridad e Higiene,3 años
213,Empresa M,Técnico de Gestión Ambiental y Sostenibilidad,5 años
214,Empresa N,Profesional de Producción de Fruta Fresca,6 años
215,Empresa O,Asistente de Recepción y Almacenamiento de Fruta,4 años
216,Empresa P,Operario de Control de Calidad,3 años
217,Empresa Q,Gerente de Producción de Mermelada,5 años
218,Empresa R,Jefe de Producción de Fruta Confitada,4 años
219,Empresa S,Especialista de Investigación y Desarrollo,6 años
220,Empresa T,Supervisor de Logística y Distribución,3 años
