id_sesion,estado,fecha,hora,id_programa_c
1,Completa,2021-01-01,17:30:00,1
2,Completa,2021-01-08,17:30:00,1
3,Completa,2021-01-15,17:30:00,1
4,Completa,2021-01-22,17:30:00,1
5,Completa,2021-01-29,17:30:00,1
6,Completa,2021-02-05,17:30:00,1
7,Completa,2021-02-12,17:30:00,1
8,Completa,2021-03-15,20:00:00,2
9,Completa,2021-03-29,20:00:00,2
10,Completa,2021-04-13,20:00:00,2
11,Completa,2021-04-27,20:00:00,2
12,Completa,2021-05-11,20:00:00,2
13,Completa,2021-08-01,08:00:00,3
14,Completa,2021-09-01,08:00:00,3
15,Completa,2021-10-01,08:00:00,3
16,Completa,2021-11-01,08:00:00,3
17,Completa,2022-01-15,09:00:00,4
18,Completa,2022-01-29,09:00:00,4
19,Completa,2022-02-12,09:00:00,4
20,Completa,2022-09-15,20:00:00,5
21,Completa,2022-11-15,20:00:00,5
22,Completa,2023-03-01,08:00:00,6
23,Completa,2023-03-15,08:00:00,6
24,Completa,2023-04-01,08:00:00,6
25,Completa,2023-04-15,08:00:00,6
26,Completa,2023-05-01,08:00:00,6
27,Completa,2023-05-15,08:00:00,6
28,Completa,2023-05-31,08:00:00,6
29,Completa,2023-10-01,08:00:00,7
30,Completa,2023-11-01,08:00:00,7
31,Completa,2024-01-15,16:00:00,8
32,Completa,2024-01-30,16:00:00,8
33,Completa,2024-02-15,16:00:00,8
