id_curriculum,grado_educacion,id_experiencia,id_certificado
101,Licenciatura en Ingeniería Industrial,201,301
102,Maestría en Administración de Empresas,202,302
103,Técnico en Control de Calidad,203,303
104,Licenciatura en Administración de Empresas,204,304
105,Técnico en Producción de Alimentos,205,305
106,Maestría en Ciencias de la Computación,206,306
107,Licenciatura en Logística,207,307
108,Técnico en Mercadotecnia,208,308
109,Licenciatura en Contaduría Pública,209,309
110,Maestría en Recursos Humanos,210,310
111,Técnico en Mantenimiento Industrial,211,311
112,Especialidad en Seguridad Laboral,212,312
113,Maestría en Gestión Ambiental,213,313
114,Licenciatura en Ingeniería Agroindustrial,214,314
115,Técnico en Almacenamiento y Distribución,215,315
116,Licenciatura en Química,216,316
117,Maestría en Producción de Alimentos,217,317
118,Técnico en Producción de Frutas,218,318
119,Licenciatura en Biología,219,319
120,Maestría en Logística y Transporte,220,320
